timestamp,text
2021-08-29 18:24:08,b'113 new cases and 1 new death in Maldives \n\n[20:24 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 18:18:42,"b'7,740 new cases and 134 new deaths in South Africa \n\n[20:18 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 18:13:16,"b'13,630 new cases and 53 new deaths in France \n\n[20:13 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 18:07:50,b'32 new cases and 4 new deaths in Malawi \n\n[20:07 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 17:45:20,"b'2,317 new cases and 5 new deaths in Germany \n\n[19:45 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 17:29:10,"b'1,040 new cases and 13 new deaths in Ethiopia \n\n[19:29 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 17:23:43,"b'1,040 new cases and 13 new deaths in Ethiopia \n\n[19:23 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 17:21:48,b'Revised State-Wise COVID-19 Rules: What\xe2\x80\x99s Allowed &amp; What\xe2\x80\x99s Not\n\n#COVID19 #CoronavirusPandemic \n\nhttps://t.co/EnMFeu67jd'
2021-08-29 17:18:17,b'6 new cases in Niger \n\n[19:18 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 17:12:50,b'929 new cases and 21 new deaths in Jamaica \n\n[19:12 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 17:05:24,b'139 new cases and 9 new deaths in Mozambique \n\n[19:05 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 16:59:58,"b'3,841 new cases and 76 new deaths in Morocco \n\n[18:59 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 16:54:32,"b'1,706 new cases in Ireland \n\n[18:54 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 16:49:05,b'491 new cases and 30 new deaths in Algeria \n\n[18:49 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 16:46:52,"b'""We will administer the second dose to 100 per cent of the population by November 30,"" the state health minister sa\xe2\x80\xa6 https://t.co/nGtrmQzlHo'"
2021-08-29 16:40:20,b'811 new cases and 15 new deaths in Jordan \n\n[18:40 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 16:34:09,"b'4,456 new cases and 39 new deaths in Israel \n\n[18:34 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 16:28:43,"b'2,110 new cases and 4 new deaths in Germany \n\n[18:28 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 16:25:57,"b'3.25% daily #COVID19 #positivity rate, 5 deaths in @PMCPune on Aug29. New #patients are 247 taking active case coun\xe2\x80\xa6 https://t.co/IBXEckBtKb'"
2021-08-29 16:23:16,"b'43,317 new cases and 516 new deaths in India \n\n[18:23 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 16:17:50,"b'43,317 new cases and 516 new deaths in India \n\n[18:17 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 16:07:36,"b'#Covid19  is not a respiratory illness, as widely accepted, but a #vascular one, claims a #study .\n\n#Corona\xe2\x80\xa6 https://t.co/yNJrMIW2V0'"
2021-08-29 16:05:05,b'204 new cases in Moldova \n\n[18:05 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:59:39,b'1 new case in Eritrea \n\n[17:59 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:54:13,b'42 new cases in Isle of Man \n\n[17:54 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:48:46,b'595 new cases and 44 new deaths in Chile \n\n[17:48 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:43:20,b'4 new cases in Greenland \n\n[17:43 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
